Time Doctor Sign (ms);Time Produce Derived Proof (ms);Time to Verify (ms)
241.52;329.77;164.34
251.05;337.16;213.70
327.10;316.16;255.42
222.65;322.18;173.91
234.53;312.97;212.94
266.27;333.01;172.07
239.16;347.13;151.54
229.56;342.24;199.10
244.41;352.21;163.03
250.29;362.07;180.59
234.31;343.09;173.29
235.78;364.98;183.05
239.76;343.44;158.69
248.60;409.38;187.90
261.19;327.05;191.27
232.79;363.26;189.57
228.08;352.41;163.55
236.68;324.28;163.16
227.28;344.49;193.46
229.55;353.61;179.89
221.64;336.67;188.18
233.40;339.81;192.06
232.04;395.42;177.10
246.10;362.05;159.41
253.69;318.70;186.28
243.67;344.14;165.41
242.56;333.42;193.76
240.51;324.86;152.42
240.09;310.15;174.38
249.59;321.83;157.63
238.81;331.33;182.80
240.04;338.90;187.21
232.50;310.78;253.19
238.39;356.08;191.02
226.71;343.92;203.72
260.63;323.54;168.28
239.43;351.55;169.85
294.49;355.50;226.69
232.15;339.88;200.65
279.31;331.45;207.69
305.93;337.51;253.60
221.93;342.97;168.01
263.64;338.16;204.07
252.51;391.65;182.52
225.70;352.58;192.45
292.08;346.34;176.86
254.54;375.89;174.11
230.05;358.97;170.07
273.02;338.98;172.58
263.08;350.05;179.69
233.45;331.00;188.90
240.77;330.78;165.09
271.47;316.33;220.94
228.02;323.54;200.18
226.01;314.36;183.33
234.27;347.20;182.39
239.98;303.65;235.25
249.57;326.75;171.35
246.59;351.00;180.72
247.26;336.96;234.34
234.64;331.34;186.78
244.64;322.74;170.89
246.93;313.86;182.65
245.60;353.79;172.42
244.50;345.49;195.40
246.61;328.19;194.02
232.89;353.03;172.20
258.06;375.68;179.72
263.91;400.00;196.11
278.65;391.26;193.38
248.23;324.93;164.97
240.80;333.59;221.84
234.64;324.92;199.47
277.23;313.21;161.04
286.66;320.28;170.37
227.24;335.15;182.85
243.94;316.28;181.77
270.47;323.22;178.71
238.78;328.09;174.68
236.03;324.01;153.15
266.35;342.49;179.69
248.73;347.02;175.62
262.27;311.09;196.13
240.46;346.15;198.61
317.29;336.12;160.75
253.79;373.16;205.73
252.28;341.31;201.27
289.19;344.04;175.35
241.25;324.54;170.17
283.19;313.03;197.59
232.95;381.50;193.83
310.74;346.02;160.36
371.22;324.16;197.83
233.09;341.54;188.26
275.85;329.92;155.34
263.82;332.67;210.30
250.99;363.82;187.65
225.08;326.54;160.79
230.24;313.51;185.43
276.14;407.47;244.08
302.44;319.98;166.21
293.54;316.56;213.70
256.63;336.82;177.55
268.08;328.42;155.55
271.90;308.99;178.69
252.79;389.82;195.38
233.29;325.18;168.47
247.37;323.43;190.83
248.95;340.84;187.29
238.50;320.26;165.62
269.48;335.59;254.68
249.35;338.93;161.76
229.28;317.85;190.88
273.14;310.15;175.54
250.84;340.28;189.27
241.67;327.94;163.13
216.70;309.79;165.30
239.74;373.58;157.65
229.85;338.33;157.18
237.89;327.56;175.64
261.21;376.36;175.02
249.49;351.51;195.78
228.45;370.33;162.46
280.54;335.95;203.40
271.99;359.33;162.55
230.80;377.10;181.35
308.39;332.01;211.65
252.83;331.13;175.23
262.33;395.37;163.18
270.16;350.33;212.96
266.96;347.00;166.59
238.76;337.70;217.94
288.43;333.97;158.39
235.88;319.00;182.38
233.64;362.04;201.91
232.06;359.50;172.36
302.00;387.79;169.38
240.91;362.57;228.33
292.67;340.33;225.83
278.43;393.48;167.45
238.53;369.07;171.53
265.18;328.57;173.63
256.37;328.05;231.32
229.95;328.91;205.60
342.39;316.56;205.53
238.00;322.06;212.28
226.91;356.15;172.28
296.09;311.60;204.58
239.70;329.79;212.10
234.54;333.36;180.50
326.94;312.06;158.88
234.73;336.43;201.23
235.95;353.42;162.15
300.08;304.60;199.53
223.95;372.71;178.89
248.54;337.65;199.40
246.62;341.03;194.44
242.00;412.14;172.41
297.51;311.16;174.17
254.82;365.80;162.01
223.45;346.25;253.43
262.74;308.44;163.88
292.69;349.16;181.79
239.62;314.39;193.36
240.31;317.74;163.89
237.58;337.22;168.17
287.50;325.24;175.00
226.79;345.50;169.08
266.69;365.28;158.85
232.31;337.59;176.56
244.93;358.95;201.69
271.94;371.92;184.37
261.77;324.91;170.77
243.89;330.34;193.86
293.57;346.50;170.26
245.86;346.05;188.13
305.18;318.13;166.84
245.32;339.71;171.34
232.83;373.19;159.73
251.81;333.44;161.83
233.99;318.88;230.59
309.97;354.87;197.71
359.11;315.31;220.53
295.04;368.09;180.08
244.27;346.26;173.35
264.58;354.40;170.82
281.19;364.86;192.29
238.12;346.69;178.33
250.94;400.84;179.43
259.02;360.78;201.59
230.92;382.99;204.25
341.36;340.78;175.06
228.72;335.76;194.32
225.84;378.44;175.79
249.14;313.60;170.61
233.02;371.28;183.61
247.65;348.41;174.67
322.67;352.67;157.81
222.76;346.75;194.73
240.26;366.00;169.32
229.18;373.87;183.30
225.38;397.96;177.08
252.03;363.57;200.77
245.03;353.14;189.65
237.30;323.41;252.98
267.55;358.45;206.42
249.12;334.53;165.68
237.18;367.82;184.50
267.95;312.74;210.08
240.03;372.27;194.16
228.29;383.82;191.93
259.49;312.20;196.34
243.31;358.40;180.54
280.33;367.27;192.87
266.82;321.55;191.76
249.89;364.62;163.88
226.01;319.90;228.48
286.82;332.55;181.20
250.32;359.75;168.08
261.80;323.71;165.72
267.24;333.50;154.04
299.04;327.81;200.35
238.75;331.67;190.47
301.69;317.25;169.06
257.88;321.81;200.26
239.58;499.86;321.15
489.63;422.95;249.00
266.44;348.45;194.59
451.83;311.57;173.32
271.01;336.99;169.03
239.25;313.62;194.11
284.97;317.59;171.38
264.07;370.71;170.18
258.09;383.54;175.18
235.79;317.57;186.83
254.77;390.67;202.68
243.76;366.00;193.85
249.01;359.57;163.00
283.42;338.28;193.49
296.37;358.31;184.08
227.82;332.10;163.23
305.77;359.44;195.34
227.69;373.77;176.65
228.70;324.98;212.81
298.33;358.58;166.68
221.91;381.93;173.01
236.77;333.87;185.23
293.95;344.41;173.64
234.56;376.19;206.30
234.90;345.99;171.57
238.20;324.82;192.56
258.34;344.31;199.96
236.91;331.05;212.20
260.89;335.88;184.21
227.39;315.93;194.58
234.83;316.91;166.51
256.71;357.28;200.13
228.18;309.68;214.31
249.57;323.77;153.92
260.75;328.51;191.36
241.42;322.41;168.66
246.47;308.15;175.09
319.66;326.55;257.15
254.96;333.70;156.52
228.63;312.02;197.43
268.85;333.86;184.02
310.35;324.23;199.89
249.41;315.47;156.73
352.31;318.64;167.86
291.30;318.11;163.82
229.01;318.27;190.84
300.73;329.65;175.13
275.43;323.98;175.91
237.65;337.89;197.58
311.57;361.96;187.37
223.89;320.98;182.42
292.14;374.28;186.49
249.84;374.72;198.68
260.18;350.54;186.56
235.08;341.05;201.11
239.20;373.15;219.35
262.86;339.99;202.58
232.92;341.35;185.21
238.51;345.52;228.09
257.27;344.90;212.77
236.59;346.96;172.56
258.60;320.28;199.82
247.28;320.93;190.67
245.67;310.58;205.72
240.08;339.42;185.13
263.56;315.15;164.58
276.87;333.51;185.95
293.55;348.74;188.77
247.33;320.38;179.31
318.73;318.05;186.21
298.29;320.29;190.57
237.75;316.17;177.98
265.13;324.88;169.63
237.38;334.73;156.25
251.16;351.71;205.46
291.67;342.35;161.68
318.22;309.76;183.25
296.79;324.96;223.95
270.54;363.69;194.30
248.31;318.22;176.89
226.70;321.62;173.03
247.47;318.20;173.99
324.44;323.68;161.26
237.08;337.69;188.81
325.56;321.47;197.46
291.38;308.75;165.73
235.14;324.41;186.07
294.97;312.48;163.69
321.96;314.55;153.43
232.46;314.01;188.73
240.98;337.10;162.02
236.28;309.42;172.08
251.78;359.60;191.98
273.64;366.61;191.49
239.22;340.26;166.56
249.29;332.79;185.27
235.82;329.80;206.93
251.10;361.31;173.18
277.16;329.26;156.32
258.38;357.79;193.88
235.83;337.26;222.80
231.63;308.06;184.44
253.94;394.21;222.80
248.35;384.34;181.12
233.02;313.35;169.39
239.72;361.63;196.08
235.01;366.56;205.14
237.17;308.96;186.06
257.39;358.36;173.78
268.57;362.39;203.90
237.65;321.30;174.61
229.31;360.51;188.96
249.76;370.06;210.23
228.90;316.21;198.09
243.91;351.76;200.82
237.09;351.36;211.66
278.71;315.01;192.08
242.76;338.41;163.74
238.79;378.05;202.31
244.14;332.92;174.95
224.59;331.98;168.61
249.50;371.24;201.50
233.60;330.23;169.74
287.55;395.62;195.63
329.98;336.68;197.99
322.36;327.17;194.20
244.01;380.69;168.17
234.61;320.56;182.20
313.78;339.54;167.86
279.04;348.63;195.25
245.46;312.87;176.45
233.51;345.29;176.60
237.81;347.62;198.59
273.62;306.86;201.72
247.91;319.17;156.88
232.19;342.83;169.35
230.51;321.32;166.26
277.51;398.28;210.53
242.22;372.28;175.02
243.64;344.52;160.97
243.62;351.75;178.19
289.49;346.89;202.19
228.95;330.82;182.20
268.43;324.68;221.04
326.37;395.85;198.46
234.82;362.52;176.09
311.40;329.55;214.56
250.58;335.17;186.83
232.25;345.61;223.55
301.38;315.02;166.64
238.94;326.07;172.68
242.59;315.46;203.93
233.22;313.68;205.08
232.58;324.03;177.04
256.48;310.44;243.45
295.64;316.75;172.07
246.18;330.15;168.67
257.58;322.30;209.06
237.88;361.57;179.80
270.14;425.19;382.78
266.44;348.30;194.54
266.44;348.50;194.63
406.88;386.52;275.87
349.48;392.56;316.15
296.06;391.71;216.95
471.79;374.12;329.61
308.19;402.51;267.41
301.35;381.86;231.68
296.63;388.53;270.26
351.67;374.95;230.63
332.58;400.62;317.37
304.93;386.86;268.14
333.64;427.01;249.90
326.19;446.69;251.55
370.94;387.95;311.97
288.34;374.15;244.09
297.94;387.94;259.02
294.67;485.78;281.34
321.87;398.92;237.28
266.30;346.20;194.25
370.06;417.39;253.85
327.27;432.35;237.18
369.81;381.53;260.40
481.96;430.08;250.18
423.73;425.42;251.87
323.32;402.61;226.43
344.51;407.59;379.35
439.21;411.34;262.39
383.21;440.05;277.11
313.66;469.31;307.93
492.34;479.84;238.85
309.33;432.67;289.22
443.88;414.96;259.17
366.58;488.98;243.43
413.09;405.40;373.03
327.77;403.09;256.47
323.42;476.94;215.44
308.96;485.39;372.28
346.75;473.81;275.40
377.29;440.61;260.29
338.13;401.53;275.10
375.60;424.01;293.49
265.85;346.20;193.59
342.43;423.81;302.27
362.15;415.30;253.06
354.19;457.48;241.19
336.44;409.67;278.08
439.07;424.80;256.08
457.93;466.68;315.05
394.59;458.84;298.60
368.94;472.56;229.52
463.85;434.96;245.95
369.83;391.21;283.35
304.98;442.43;260.96
266.20;346.20;194.00
297.61;467.60;236.07
294.03;454.72;283.17
384.86;454.20;303.25
415.47;428.16;231.50
389.26;421.94;223.82
435.87;436.56;272.92
413.70;418.91;248.37
312.14;468.35;256.90
321.33;458.40;256.38
266.07;346.20;193.88
335.85;447.72;288.41
266.26;346.20;194.15
336.54;447.43;223.35
303.25;401.81;240.67
441.87;387.75;278.86
376.65;382.46;284.37
360.79;376.89;297.98
354.89;463.36;252.55
337.53;404.14;249.61
307.84;423.90;231.76
300.57;461.98;260.74
400.57;391.49;317.44
314.11;393.52;218.49
391.22;466.59;267.89
321.03;385.04;255.59
469.68;448.54;270.35
324.56;422.87;215.02
295.08;426.66;254.37
293.85;409.29;226.21
340.65;473.56;223.61
384.18;432.34;232.14
360.45;434.31;289.41
342.45;490.78;215.28
265.93;346.20;193.72
361.65;395.47;262.81
391.58;444.21;244.81
305.92;464.70;240.17
342.15;454.26;291.34
